Project: Evolutionary Intensity Measures for More Accurate and Informative Liquefaction Hazard Evaluation,,,,
Exp8: 72 to 94% Relative Density Cyclic Simple Shear Tests under Modulated Sine Loadings,,,,
Operator: Wing Shun Kwan,,,,
Date: 2013-08-07,,,,
,,,,
Time [sec],Shear Strain [%],Shear Stress [kPa],Effective Vertical Stress [kPa],Excess Pore Pressure [kPa]
0.001,0,-0.032956547,103.4079683,0
0.013,0,-0.032956547,103.4141568,-0.1
0.026,0,-0.032956547,103.4141568,-0.1
0.038,0,-0.032956547,103.3846444,-0.2
0.051,0,-0.065913094,103.3141568,0
0.064,0,-0.032956547,103.3203453,-0.1
0.076,0,-0.032956547,103.3141568,0
0.089,0,-0.032956547,103.3141568,0
0.102,0.000871031,-0.032956547,103.3141568,0
0.115,0,-0.032956547,103.4141568,-0.1
0.127,0.000871031,-0.032956547,103.4141568,-0.1
0.14,0,-0.032956547,103.3784559,-0.1
0.153,0.000871031,0,103.4722674,-0.1
0.165,0,0,103.3722674,0
0.178,0.000871031,0,103.4141568,-0.1
0.191,0,0,103.4141568,-0.1
0.203,0,0,103.4141568,-0.1
0.216,0,-0.032956547,103.4141568,-0.1
0.229,0.000871031,-0.032956547,103.3784559,-0.1
0.242,0,0,103.3784559,-0.1
0.254,0.000871031,0,103.4141568,-0.1
0.267,0,0,103.4079683,0
0.28,0,0,103.4141568,-0.1
0.292,0,-0.032956547,103.3784559,-0.1
0.305,0,-0.032956547,103.4141568,-0.1
0.318,0,-0.032956547,103.3784559,-0.1
0.33,0,-0.032956547,103.2784559,0
0.343,0,0,103.2846444,-0.1
0.356,0,-0.032956547,103.2784559,0
0.369,0.000871031,-0.032956547,103.2784559,0
0.381,0.000871031,-0.032956547,103.3141568,0
0.394,0.000871031,-0.032956547,103.3784559,-0.1
0.407,0,0,103.4141568,-0.1
0.419,0,0,103.4141568,-0.1
0.432,-0.000435515,0,103.4141568,-0.1
0.445,0,0,103.4079683,0
0.458,0,0,103.4141568,-0.1
0.47,0.000871031,0,103.3784559,-0.1
0.483,0.000871031,-0.032956547,103.4141568,-0.1
0.496,0.000871031,-0.032956547,103.4141568,-0.1
0.508,0,0,103.4141568,-0.1
0.521,0.000871031,0,103.4079683,0
0.534,0,0,103.3784559,-0.1
0.546,0.000871031,-0.032956547,103.3722674,0
0.559,0,-0.032956547,103.3784559,-0.1
0.572,0.000871031,0,103.3722674,0
0.585,0,0,103.3784559,-0.1
0.597,0,0,103.2784559,0
0.61,0,-0.032956547,103.2784559,0
0.623,0,0,103.2784559,0
0.635,0,-0.032956547,103.4141568,-0.1
0.648,0,-0.032956547,103.3141568,0
0.661,0,-0.032956547,103.4141568,-0.1
0.673,0,-0.032956547,103.3203453,-0.1
0.686,0,-0.032956547,103.3203453,-0.1
0.699,0,-0.032956547,103.3203453,-0.1
0.712,0.000871031,-0.032956547,103.3141568,0
0.724,0,0,103.3141568,0
0.737,0.000871031,0,103.4079683,0
0.75,0,0,103.4722674,-0.1
0.762,0.000871031,0,103.5660789,-0.1
0.775,0,0,103.4141568,-0.1
0.788,0.000871031,0,103.4079683,0
0.801,0,0,103.4141568,-0.1
0.813,0.000871031,0,103.4141568,-0.1
0.826,0,0,103.4141568,-0.1
0.839,0,0,103.3784559,-0.1
0.851,0,0,103.3784559,-0.1
0.864,0.000871031,0,103.4141568,-0.1
0.877,0,0,103.4141568,-0.1
0.889,0.000871031,0,103.3141568,0
0.902,0,0,103.3141568,0
0.915,0,0,103.3203453,-0.1
0.928,0.000871031,0,103.3141568,0
0.94,0,-0.032956547,103.3203453,-0.1
0.953,0.000871031,0,103.3141568,0
0.966,0,0,103.2846444,-0.1
0.978,0,-0.032956547,103.2784559,0
0.991,0,0,103.2846444,-0.1
1.004,0,-0.032956547,103.3141568,0
1.016,0,-0.032956547,103.2846444,-0.1
1.029,0.000871031,-0.032956547,103.3784559,-0.1
1.042,0,-0.032956547,103.4079683,0
1.055,0.000871031,-0.032956547,103.4141568,-0.1
1.067,0,-0.032956547,103.4141568,-0.1
1.08,0.000871031,-0.032956547,103.3784559,-0.1
1.093,0,-0.032956547,103.3722674,0
1.105,0.000871031,-0.032956547,103.5079683,-0.1
1.118,0,-0.032956547,103.5079683,-0.1
1.131,0,0,103.4141568,-0.1
1.144,0,0,103.4079683,0
1.156,0.000871031,0,103.4141568,-0.1
1.169,0,0,103.4079683,0
1.182,0,0,103.4141568,-0.1
1.194,0,0,103.3784559,-0.1
1.207,0,-0.032956547,103.4141568,-0.1
1.22,0.000871031,0,103.4141568,-0.1
1.232,0,-0.032956547,103.3141568,0
1.245,0,-0.032956547,103.3141568,0
1.258,0,-0.032956547,103.2784559,0
1.271,0,0,103.3784559,-0.1
1.283,0,0,103.4141568,-0.1
1.296,0,0,103.4141568,-0.1
1.309,0,0,103.3141568,0
1.321,0,0,103.3141568,0
1.334,0,0,103.4079683,0
1.347,0,0,103.4079683,0
1.359,0,0,103.4079683,0
1.372,0.000871031,0,103.5079683,-0.1
1.385,0,0,103.5079683,-0.1
1.398,0.000871031,-0.032956547,103.5079683,-0.1
1.41,0,-0.032956547,103.4079683,0
1.423,0.000871031,0,103.4722674,-0.1
1.436,0,0,103.4141568,-0.1
1.448,0.000871031,0,103.4141568,-0.1
1.461,0.000871031,0,103.4141568,-0.1
1.474,0.000871031,0,103.5079683,-0.1
1.487,0,0,103.5079683,-0.1
1.499,0.000871031,-0.032956547,103.4079683,0
1.512,0,0,103.4079683,0
1.525,0.000871031,0,103.4079683,0
1.537,0.000871031,-0.032956547,103.4141568,-0.1
1.55,0.000871031,-0.032956547,103.3141568,0
1.563,0.000871031,-0.032956547,103.3141568,0
1.575,0.000871031,-0.032956547,103.2784559,0
1.588,0.000871031,0,103.4141568,-0.1
1.601,0,0,103.4141568,-0.1
1.614,0,0,103.3784559,-0.1
1.626,0.000871031,0,103.4141568,-0.1
1.639,0.000871031,0,103.4141568,-0.1
1.652,0.000871031,0,103.4141568,-0.1
1.664,0.000871031,0,103.3141568,0
1.677,0,0,103.2784559,0
1.69,0.000871031,0,103.3141568,0
1.702,0,0,103.2784559,0
1.715,0.000871031,0,103.3141568,0
1.728,0,0,103.4079683,0
1.741,0.000871031,0,103.4079683,0
1.753,0,0,103.4722674,-0.1
1.766,0,0,103.3722674,0
1.779,0,0,103.3722674,0
1.791,0,0,103.4141568,-0.1
1.804,0,0,103.4141568,-0.1
1.817,0.000871031,0,103.3141568,0
1.83,0,-0.032956547,103.4079683,0
1.842,0,0,103.3141568,0
1.855,0,0,103.2784559,0
1.868,0.000871031,0,103.2846444,-0.1
1.88,0.000871031,0,103.4079683,0
1.893,0.000871031,0,103.4141568,-0.1
1.906,0.000871031,0,103.4079683,0
1.918,0.000871031,0,103.4141568,-0.1
1.931,0,0,103.3079683,0.1
1.944,0,0,103.2846444,-0.1
1.957,0,0,103.2784559,0
1.969,0,-0.032956547,103.2846444,-0.1
1.982,0,0,103.3141568,0
1.995,-0.000435515,0,103.3141568,0
2.007,0,0,103.3141568,0
2.02,0,0,103.3141568,0
2.033,0,0,103.5141568,-0.2
2.045,0,0,103.3722674,0
2.058,0.000871031,0,103.3784559,-0.1
2.071,0.000871031,0,103.3784559,-0.1
2.084,0.000871031,0,103.3784559,-0.1
2.096,0,0,103.3722674,0
2.109,0,-0.032956547,103.4141568,-0.1
2.122,0.000871031,0,103.3722674,0
2.134,0,-0.032956547,103.3784559,-0.1
2.147,0,-0.032956547,103.3722674,0
2.16,0,-0.032956547,103.3784559,-0.1
2.173,0,0,103.3722674,0
2.185,0,0,103.4141568,-0.1
2.198,0,0,103.4079683,0
2.211,0,0,103.4141568,-0.1
2.223,0,0,103.4079683,0
2.236,0,0,103.4141568,-0.1
2.249,0,0,103.3141568,0
2.261,-0.000435515,0,103.3203453,-0.1
2.274,0,0,103.3141568,0
2.287,-0.000435515,0,103.4079683,0
2.3,0,0,103.3722674,0
2.312,0,0,103.5079683,-0.1
2.325,0,-0.032956547,103.4141568,-0.1
2.338,0,-0.032956547,103.4141568,-0.1
2.35,0.000871031,-0.032956547,103.3784559,-0.1
2.363,0,0,103.3784559,-0.1
2.376,0.000871031,0,103.2784559,0
2.388,0,0,103.3722674,0
2.401,0.000871031,0,103.4079683,0
2.414,0,0,103.4722674,-0.1
2.427,0.000871031,0,103.4722674,-0.1
2.439,0,0,103.4079683,0
2.452,0.000871031,0,103.4141568,-0.1
2.465,0,0,103.3784559,-0.1
2.477,0,0,103.3722674,0
2.49,0,0,103.4079683,0
2.503,0.000871031,0,103.4079683,0
2.516,0.000871031,0,103.4141568,-0.1
2.528,0.000871031,0,103.3784559,-0.1
2.541,0.000871031,-0.032956547,103.3784559,-0.1
2.554,0.000871031,-0.032956547,103.4141568,-0.1
2.566,0.000871031,0,103.4079683,0
2.579,0,0,103.3784559,-0.1
2.592,0.000871031,0,103.3722674,0
2.604,0.000871031,0,103.4141568,-0.1
2.617,0.000871031,0,103.4141568,-0.1
2.63,0.000871031,0,103.3203453,-0.1
2.643,0.000871031,0,103.2141568,0.1
2.655,0,-0.032956547,103.3846444,-0.2
2.668,0.000871031,-0.032956547,103.2784559,0
2.681,0,-0.032956547,103.3784559,-0.1
2.693,0.000871031,-0.032956547,103.3722674,0
2.706,0,-0.032956547,103.3784559,-0.1
2.719,0.000871031,0,103.3722674,0
