Project: Evolutionary Intensity Measures for More Accurate and Informative Liquefaction Hazard Evaluation,,,,
Exp9: 33 to 55% Relative Density Cyclic Simple Shear Tests under Transient Loadings,,,,
Operator: Wing Shun Kwan,,,,
Date: 2013-02-15,,,,
,,,,
Time [sec],Shear Strain [%],Shear Stress [kPa],Effective Vertical Stress [kPa],Excess Pore Pressure [kPa]
0.001,0,0.065913094,99.17264813,-0.1
0.013,0,0.032956547,99.18502514,-0.3
0.026,0,-0.032956547,99.17264813,-0.1
0.038,-0.000429534,-0.231916443,99.18502514,-0.3
0.051,0,-0.498010047,99.17264813,-0.1
0.064,-0.000429534,-0.795839584,99.18502514,-0.3
0.076,0,-1.094889735,99.17883663,-0.2
0.089,-0.000429534,-1.326806178,99.07883663,-0.1
0.102,-0.000429534,-1.525766074,99.04313576,-0.1
0.115,-0.000429534,-1.625856329,99.04313576,-0.1
0.127,0,-1.625856329,99.00743489,-0.1
0.14,0,-1.492809527,99.00743489,-0.1
0.153,0,-1.293849631,99.00743489,-0.1
0.165,-0.000429534,-1.061933188,99.00743489,-0.1
0.178,-0.000429534,-0.795839584,99.10743489,-0.2
0.191,-0.000429534,-0.596879688,99.0836343,-0.2
0.203,0,-0.397919792,99.0836343,-0.2
0.216,-0.000429534,-0.198959896,99.0836343,-0.2
0.229,-0.000429534,-0.032956547,99.0836343,-0.2
0.242,-0.000429534,0.100090254,99.0836343,-0.2
0.254,-0.000429534,0.231916443,99.0836343,-0.2
0.267,0,0.332006698,99.0836343,-0.2
0.28,0,0.364963245,99.0836343,-0.2
0.292,0,0.364963245,99.04793343,-0.2
0.305,-0.000429534,0.299050151,99.04793343,-0.2
0.318,-0.000429534,0.231916443,98.9836343,-0.1
0.33,-0.000429534,0.166003349,98.9836343,-0.1
0.343,-0.000429534,0.100090254,98.9836343,-0.1
0.356,-0.000429534,0.065913094,98.9836343,-0.1
0.369,-0.000429534,0.032956547,98.9836343,-0.1
0.381,-0.000429534,0.032956547,98.9836343,-0.1
0.394,-0.000429534,0.032956547,98.9836343,-0.1
0.407,-0.000429534,0.065913094,98.9836343,-0.1
0.419,-0.000429534,0.100090254,98.9774458,0
0.432,0,0.133046802,98.9836343,-0.1
0.445,0,0.133046802,98.9774458,0
0.458,0,0.133046802,99.08982281,-0.3
0.47,-0.000429534,0.166003349,99.0774458,-0.1
0.483,0,0.166003349,99.08982281,-0.3
0.496,0,0.133046802,99.0774458,-0.1
0.508,0,0.133046802,99.08982281,-0.3
0.521,0,0.166003349,98.9774458,0
0.534,0,0.166003349,99.08982281,-0.3
0.546,-0.000429534,0.133046802,98.9774458,0
0.559,-0.000429534,0.133046802,98.98982281,-0.2
0.572,0,0.166003349,98.9836343,-0.1
0.585,0,0.166003349,98.9836343,-0.1
0.597,0,0.133046802,98.9836343,-0.1
0.61,0,0.133046802,98.9836343,-0.1
0.623,0,0.133046802,98.9836343,-0.1
0.635,0,0.133046802,98.9836343,-0.1
0.648,0,0.100090254,98.9836343,-0.1
0.661,0,0.100090254,98.9836343,-0.1
0.673,0,0.100090254,98.98982281,-0.2
0.686,0,0.100090254,98.9774458,0
0.699,0,0.100090254,98.9836343,-0.1
0.712,0,0.100090254,98.9774458,0
0.724,-0.000429534,0.133046802,98.9836343,-0.1
0.737,0,0.133046802,98.9836343,-0.1
0.75,0,0.133046802,98.9836343,-0.1
0.762,0,0.133046802,99.0836343,-0.2
0.775,-0.000429534,0.133046802,98.9836343,-0.1
0.788,-0.000429534,0.133046802,98.9836343,-0.1
0.801,0,0.133046802,98.9836343,-0.1
0.813,0,0.100090254,98.9836343,-0.1
0.826,0,0.100090254,98.9836343,-0.1
0.839,-0.000429534,0.100090254,98.9836343,-0.1
0.851,-0.000429534,0.100090254,98.9836343,-0.1
0.864,-0.000429534,0.100090254,98.9836343,-0.1
0.877,0,0.100090254,98.9836343,-0.1
0.889,0,0.100090254,98.9836343,-0.1
0.902,-0.000429534,0.100090254,98.9836343,-0.1
0.915,0,0.100090254,98.9836343,-0.1
0.928,0,0.100090254,98.9836343,-0.1
0.94,-0.000429534,0.100090254,98.9836343,-0.1
0.953,-0.000429534,0.100090254,98.9836343,-0.1
0.966,-0.000429534,0.100090254,98.9836343,-0.1
0.978,-0.000429534,0.100090254,98.9836343,-0.1
0.991,-0.000429534,0.133046802,99.00124638,0
1.004,-0.000429534,0.100090254,98.9836343,-0.1
1.016,-0.000429534,0.100090254,98.9836343,-0.1
1.029,-0.000429534,0.100090254,98.98982281,-0.2
1.042,-0.000429534,0.100090254,98.9836343,-0.1
1.055,0,0.100090254,98.98982281,-0.2
1.067,0,0.100090254,98.9836343,-0.1
1.08,-0.000429534,0.100090254,98.9836343,-0.1
1.093,-0.000429534,0.100090254,98.9836343,-0.1
1.105,-0.000429534,0.100090254,98.9836343,-0.1
1.118,-0.000429534,0.100090254,98.9836343,-0.1
1.131,-0.000429534,0.100090254,98.9774458,0
1.144,0,0.100090254,98.98982281,-0.2
1.156,0,0.100090254,98.9774458,0
1.169,0,0.100090254,98.98982281,-0.2
1.182,0,0.065913094,98.9774458,0
1.194,0,0.100090254,98.98982281,-0.2
1.207,0,0.100090254,98.9774458,0
1.22,0,0.100090254,98.98982281,-0.2
1.232,0,0.100090254,98.9774458,0
1.245,0,0.065913094,98.98982281,-0.2
1.258,-0.000429534,0.065913094,98.9774458,0
1.271,-0.000429534,0.065913094,98.98982281,-0.2
1.283,0,0.065913094,99.00124638,0
1.296,-0.000429534,0.065913094,98.9836343,-0.1
1.309,-0.000429534,0.065913094,98.9774458,0
1.321,-0.000429534,0.065913094,98.9836343,-0.1
1.334,-0.000429534,0.065913094,98.9836343,-0.1
1.347,0,0.065913094,98.9836343,-0.1
1.359,-0.000429534,0.065913094,98.9836343,-0.1
1.372,0,0.065913094,99.00743489,-0.1
1.385,-0.000429534,0.065913094,99.00743489,-0.1
1.398,-0.000429534,0.032956547,99.00743489,-0.1
1.41,-0.000429534,0.065913094,98.9836343,-0.1
1.423,-0.000429534,0.065913094,98.9836343,-0.1
1.436,-0.000429534,0.065913094,98.9836343,-0.1
1.448,-0.000429534,0.065913094,99.00743489,-0.1
1.461,-0.000429534,0.065913094,99.00743489,-0.1
1.474,0,0.065913094,99.00743489,-0.1
1.487,0,0.065913094,99.00743489,-0.1
1.499,0,0.032956547,99.00743489,-0.1
1.512,0,0.032956547,99.00743489,-0.1
1.525,0,0.032956547,99.00743489,-0.1
1.537,-0.000429534,0.065913094,99.00743489,-0.1
1.55,-0.000429534,0.065913094,99.00743489,-0.1
1.563,-0.000429534,0.065913094,99.00743489,-0.1
1.575,0,0.065913094,99.00743489,-0.1
1.588,0,0.065913094,99.00743489,-0.1
1.601,-0.000429534,0.032956547,98.9836343,-0.1
1.614,0,0.032956547,99.00743489,-0.1
1.626,0,0.032956547,98.9836343,-0.1
1.639,0,0.032956547,98.98982281,-0.2
1.652,-0.000429534,0.032956547,98.9836343,-0.1
1.664,-0.000429534,0.065913094,98.98982281,-0.2
1.677,-0.000429534,0.065913094,98.9774458,0
1.69,-0.000429534,0.032956547,99.01362339,-0.2
1.702,0,0.032956547,99.00124638,0
1.715,0,0.065913094,99.01362339,-0.2
1.728,0,0.065913094,98.9774458,0
1.741,0,0.032956547,98.98982281,-0.2
1.753,0,0.032956547,98.9774458,0
1.766,-0.000429534,0.032956547,99.01362339,-0.2
1.779,0,0.032956547,99.00124638,0
1.791,-0.000429534,0.032956547,99.00743489,-0.1
1.804,-0.000429534,0.065913094,98.9774458,0
1.817,-0.000429534,0.065913094,98.9836343,-0.1
1.83,-0.000429534,0.065913094,99.00743489,-0.1
1.842,-0.000429534,0.032956547,98.9836343,-0.1
1.855,-0.000429534,0.032956547,98.9836343,-0.1
1.868,0,0.032956547,98.9836343,-0.1
1.88,0,0.032956547,98.9836343,-0.1
1.893,-0.000429534,0.032956547,98.9774458,0
1.906,-0.000429534,0.032956547,99.00743489,-0.1
1.918,0,0.032956547,99.00124638,0
1.931,0,0.032956547,99.01362339,-0.2
1.944,0,0.032956547,99.00743489,-0.1
1.957,0,0.032956547,98.98982281,-0.2
1.969,-0.000429534,0.032956547,98.9836343,-0.1
1.982,-0.000429534,0.032956547,99.00743489,-0.1
1.995,-0.000429534,0.032956547,99.00743489,-0.1
2.007,0,0.032956547,98.9836343,-0.1
2.02,-0.000429534,0,98.9836343,-0.1
2.033,0,0,98.9836343,-0.1
2.045,-0.000429534,0,98.9836343,-0.1
2.058,0,0,98.9836343,-0.1
2.071,0,0,99.00743489,-0.1
2.084,0,0,99.00743489,-0.1
2.096,0,0,99.00743489,-0.1
2.109,0,0,99.00743489,-0.1
2.122,-0.000429534,0,99.00743489,-0.1
2.134,-0.000429534,0,99.00743489,-0.1
2.147,0,0,99.00743489,-0.1
2.16,0,0,99.00743489,-0.1
2.173,-0.000429534,0,99.00743489,-0.1
2.185,0,0,99.00743489,-0.1
2.198,0,0,99.00124638,0
2.211,0,0,99.00743489,-0.1
2.223,0,0,99.00743489,-0.1
2.236,0,0,99.01362339,-0.2
2.249,0,0,99.00743489,-0.1
2.261,0,0,99.00743489,-0.1
2.274,0,0,99.00743489,-0.1
2.287,-0.000429534,0,99.00743489,-0.1
2.3,-0.000429534,0,99.00743489,-0.1
2.312,-0.000429534,-0.032956547,98.9836343,-0.1
2.325,-0.000429534,-0.032956547,98.9836343,-0.1
2.338,-0.000429534,-0.032956547,99.00743489,-0.1
2.35,0,-0.032956547,98.98982281,-0.2
2.363,-0.000429534,-0.032956547,98.9836343,-0.1
2.376,0,-0.032956547,99.01362339,-0.2
2.388,0,-0.032956547,99.00124638,0
2.401,-0.000429534,-0.032956547,99.01362339,-0.2
2.414,0,-0.032956547,99.00124638,0
2.427,-0.000429534,-0.032956547,99.01362339,-0.2
2.439,0,-0.032956547,99.00124638,0
2.452,-0.000429534,-0.032956547,99.01362339,-0.2
2.465,-0.000429534,-0.032956547,99.00124638,0
2.477,-0.000429534,0,99.01362339,-0.2
2.49,0,0,99.00124638,0
2.503,0,0,99.00743489,-0.1
2.516,0,0,99.00124638,0
2.528,0,0,99.00743489,-0.1
2.541,0,0,99.00743489,-0.1
2.554,-0.000429534,0,99.00743489,-0.1
2.566,0,0,99.00743489,-0.1
2.579,0,0,99.00743489,-0.1
2.592,-0.000429534,0,99.00743489,-0.1
2.604,0,0,99.00743489,-0.1
2.617,0,0,99.00743489,-0.1
2.63,-0.000429534,0,98.9836343,-0.1
2.643,-0.000429534,0,99.00743489,-0.1
2.655,-0.000429534,0,99.00743489,-0.1
2.668,0,0,99.00743489,-0.1
2.681,0,-0.032956547,99.00743489,-0.1
2.693,0,0,99.00743489,-0.1
2.706,0,0,99.00743489,-0.1
2.719,-0.000429534,-0.032956547,99.00743489,-0.1
2.731,0,0,99.00743489,-0.1
2.744,0,-0.032956547,99.00743489,-0.1
2.757,0,0,99.00743489,-0.1
2.77,0,-0.032956547,99.00743489,-0.1
2.782,0,0,99.00743489,-0.1
2.795,-0.000429534,-0.032956547,99.00743489,-0.1
2.808,-0.000429534,-0.032956547,99.00743489,-0.1
2.82,-0.000429534,-0.032956547,99.00743489,-0.1
2.833,-0.000429534,-0.032956547,99.00743489,-0.1
