Project: Evolutionary Intensity Measures for More Accurate and Informative Liquefaction Hazard Evaluation,,,,
Exp9: 33 to 55% Relative Density Cyclic Simple Shear Tests under Transient Loadings,,,,
Operator: Wing Shun Kwan,,,,
Date: 2013-03-07,,,,
,,,,
Time [sec],Shear Strain [%],Shear Stress [kPa],Effective Vertical Stress [kPa],Excess Pore Pressure [kPa]
0.001,0.000853482,0.032956547,99.59015109,0.1
0.013,0.000853482,0,99.60252811,-0.1
0.026,0.000853482,-0.231916443,99.59015109,0.1
0.038,0,-0.795839584,99.60252811,-0.1
0.051,-0.000853482,-1.426896432,99.55445022,0.1
0.064,-0.000853482,-1.757682517,99.46682724,0
0.076,-0.001280223,-1.658812876,99.46063873,0.1
0.089,-0.001280223,-1.226715924,99.52493785,0
0.102,-0.001280223,-0.662792783,99.52493785,0
0.115,-0.000853482,-0.065913094,99.48923698,0
0.127,-0.000853482,0.364963245,99.4654364,0
0.14,-0.000853482,0.662792783,99.4654364,0
0.153,0,0.762883037,99.4654364,0
0.165,0,0.662792783,99.4654364,0
0.178,-0.000853482,0.463832887,99.4654364,0
0.191,-0.000853482,0.231916443,99.4654364,0
0.203,0,0,99.4654364,0
0.216,0,-0.166003349,99.48923698,0
0.229,0,-0.231916443,99.48923698,0
0.242,-0.000853482,-0.231916443,99.49542549,-0.1
0.254,-0.000853482,-0.166003349,99.48923698,0
0.267,-0.000853482,-0.065913094,99.52493785,0
0.28,0,0.032956547,99.48923698,0
0.292,0,0.133046802,99.49542549,-0.1
0.305,0,0.198959896,99.4654364,0
0.318,0,0.198959896,99.47162491,-0.1
0.33,0,0.198959896,99.48923698,0
0.343,0,0.166003349,99.49542549,-0.1
0.356,0,0.100090254,99.48923698,0
0.369,0,0.065913094,99.48923698,0
0.381,0,0,99.48923698,0
0.394,0,0,99.48923698,0
0.407,0,0,99.49542549,-0.1
0.419,0,0.032956547,99.48923698,0
0.432,0,0.032956547,99.49542549,-0.1
0.445,-0.000853482,0.032956547,99.48923698,0
0.458,0,0.065913094,99.49542549,-0.1
0.47,0,0.065913094,99.48304847,0.1
0.483,0,0.065913094,99.49542549,-0.1
0.496,0,0.065913094,99.48923698,0
0.508,-0.000853482,0.065913094,99.49542549,-0.1
0.521,-0.000853482,0.065913094,99.48923698,0
0.534,-0.000853482,0.065913094,99.48923698,0
0.546,-0.000853482,0.065913094,99.48923698,0
0.559,0,0.065913094,99.48923698,0
0.572,-0.000853482,0.065913094,99.48923698,0
0.585,-0.000853482,0.032956547,99.48923698,0
0.597,-0.000853482,0.032956547,99.48923698,0
0.61,-0.000853482,0.032956547,99.48923698,0
0.623,-0.000853482,0.032956547,99.48923698,0
0.635,-0.000853482,0.032956547,99.48923698,0
0.648,-0.000853482,0.065913094,99.52493785,0
0.661,0,0.032956547,99.53112636,-0.1
0.673,0,0.032956547,99.52493785,0
0.686,0,0.032956547,99.48923698,0
0.699,0,0.065913094,99.52493785,0
0.712,0,0.065913094,99.49542549,-0.1
0.724,-0.000853482,0.065913094,99.48923698,0
0.737,-0.000853482,0.032956547,99.49542549,-0.1
0.75,-0.000853482,0.032956547,99.52493785,0
0.762,0,0.032956547,99.53112636,-0.1
0.775,0,0.032956547,99.51874935,0.1
0.788,0,0,99.49542549,-0.1
0.801,0,0.032956547,99.52493785,0
0.813,-0.000853482,0.032956547,99.53112636,-0.1
0.826,-0.000853482,0.032956547,99.52493785,0
0.839,0,0.032956547,99.52493785,0
0.851,0,0.032956547,99.48923698,0
0.864,0,0.032956547,99.48923698,0
0.877,-0.000853482,0.032956547,99.52493785,0
0.889,-0.000853482,0.032956547,99.52493785,0
0.902,0,0.032956547,99.53112636,-0.1
0.915,0,0.032956547,99.52493785,0
0.928,-0.000853482,0.032956547,99.53112636,-0.1
0.94,-0.000853482,0.032956547,99.52493785,0
0.953,-0.000853482,0.032956547,99.52493785,0
0.966,-0.000853482,0.065913094,99.52493785,0
0.978,-0.000853482,0.032956547,99.52493785,0
0.991,-0.000853482,0.065913094,99.52493785,0
1.004,-0.000853482,0.032956547,99.52493785,0
1.016,-0.000853482,0.032956547,99.52493785,0
1.029,-0.000853482,0.032956547,99.52493785,0
1.042,-0.000853482,0.032956547,99.53112636,-0.1
1.055,-0.000853482,0.032956547,99.52493785,0
1.067,-0.000853482,0.032956547,99.53112636,-0.1
1.08,-0.000853482,0.032956547,99.52493785,0
1.093,-0.000853482,0.032956547,99.52493785,0
1.105,0,0.032956547,99.52493785,0
1.118,0,0.032956547,99.52493785,0
1.131,0,0.032956547,99.53112636,-0.1
1.144,0,0.032956547,99.52493785,0
1.156,0,0.065913094,99.53112636,-0.1
1.169,-0.000853482,0.032956547,99.51874935,0.1
1.182,-0.000853482,0.032956547,99.53112636,-0.1
1.194,0,0.032956547,99.51874935,0.1
1.207,0,0.032956547,99.53112636,-0.1
1.22,0,0.032956547,99.52493785,0
1.232,0,0.065913094,99.53112636,-0.1
1.245,0,0.065913094,99.52493785,0
1.258,0,0.065913094,99.53112636,-0.1
1.271,0,0.065913094,99.52493785,0
1.283,0,0.100090254,99.52493785,0
1.296,0,0.100090254,99.52493785,0
1.309,-0.000853482,0.100090254,99.52493785,0
1.321,-0.000853482,0.100090254,99.56063873,0
1.334,-0.000853482,0.100090254,99.56063873,0
1.347,-0.000853482,0.100090254,99.56063873,0
1.359,0,0.065913094,99.56063873,0
1.372,0,0.065913094,99.52493785,0
1.385,0,0.065913094,99.52493785,0
1.398,-0.000853482,0.065913094,99.52493785,0
1.41,-0.000853482,0.065913094,99.53112636,-0.1
1.423,-0.000853482,0.065913094,99.52493785,0
1.436,-0.000853482,0.100090254,99.53112636,-0.1
1.448,-0.000853482,0.100090254,99.52493785,0
1.461,0,0.100090254,99.53112636,-0.1
1.474,0,0.100090254,99.51874935,0.1
1.487,0,0.065913094,99.56682724,-0.1
1.499,0,0.065913094,99.56063873,0
1.512,0,0.065913094,99.53112636,-0.1
1.525,0,0.065913094,99.52493785,0
1.537,0,0.065913094,99.53112636,-0.1
1.55,0,0.065913094,99.52493785,0
1.563,-0.000853482,0.065913094,99.56682724,-0.1
1.575,0,0.065913094,99.52493785,0
1.588,-0.000853482,0.032956547,99.56063873,0
1.601,-0.000853482,0.032956547,99.56063873,0
1.614,-0.000853482,0.032956547,99.56063873,0
1.626,-0.000853482,0.032956547,99.56682724,-0.1
1.639,-0.000853482,0,99.56063873,0
1.652,-0.000853482,0,99.56682724,-0.1
1.664,0,0,99.56063873,0
1.677,0,0,99.56063873,0
1.69,-0.000853482,0,99.56063873,0
1.702,-0.000853482,0,99.56063873,0
1.715,-0.000853482,0,99.52493785,0
1.728,-0.000853482,0,99.52493785,0
1.741,-0.000853482,0,99.56063873,0
1.753,-0.000853482,0,99.56063873,0
1.766,-0.000853482,0,99.56063873,0
1.779,0,0,99.56063873,0
1.791,0,0,99.56682724,-0.1
1.804,-0.000853482,0,99.56063873,0
1.817,-0.000853482,-0.032956547,99.56682724,-0.1
1.83,-0.000853482,-0.032956547,99.56063873,0
1.842,-0.000853482,-0.032956547,99.56682724,-0.1
1.855,-0.000853482,-0.032956547,99.56063873,0
1.868,-0.000853482,-0.065913094,99.56063873,0
