Tunnel_ID,Length (m),Depth (m),Rock_Type,Water_Level,Displacement (mm),Settlement (mm),Risk_Level
T1,634,178,Mixed,Low,2.2,3.8,2
T2,390,27,Shale,Low,2.43,6.33,2
T3,870,20,Mixed,Low,4.18,9.25,3
T4,119,38,Clay,High,1.99,8.07,3
T5,545,25,Clay,Low,4.86,8.54,3
T6,759,137,Shale,Low,1.3,5.27,2
T7,957,144,Mixed,Low,2.18,9.92,3
T8,501,196,Shale,Low,3.38,5.44,3
T9,669,30,Shale,High,0.79,9.57,3
T10,301,79,Clay,Low,2.51,7.79,3
T11,486,156,Shale,High,0.64,5.66,2
T12,283,158,Shale,High,4.47,0.85,3
T13,275,103,Sandstone,High,3.52,2.92,3
T14,972,132,Shale,Low,2.53,3.48,2
T15,511,155,Shale,Low,0.7,5.47,2
T16,226,136,Clay,Medium,4.98,5.7,3
T17,912,26,Clay,High,1.1,2.85,1
T18,681,43,Shale,Low,2.47,7.78,3
T19,570,26,Sandstone,High,1.37,8.18,3
T20,645,169,Clay,Low,3.41,2.24,3
T21,540,34,Clay,Low,3.08,3.33,3
T22,298,70,Shale,Medium,2.25,5.67,2
T23,357,181,Mixed,Medium,3.98,3.64,3
T24,112,71,Clay,Low,0.68,6.45,2
T25,411,90,Sandstone,High,3.75,7.05,3
T26,712,177,Mixed,High,3.8,3.78,3
T27,153,151,Sandstone,Low,3.56,4.69,3
T28,260,122,Mixed,Medium,2.21,2.62,2
T29,420,101,Clay,High,4.58,8.76,3
T30,320,133,Shale,Low,2.33,1.67,2
T31,985,194,Shale,Low,1.25,5.21,2
T32,878,47,Clay,Low,2.45,5.36,2
T33,467,22,Shale,High,2.2,5.89,2
T34,865,57,Shale,Low,1.65,9.5,3
T35,360,144,Mixed,High,3.25,7.66,3
T36,688,101,Shale,Low,3.41,1.72,3
T37,218,172,Sandstone,High,2.62,8.74,3
T38,805,163,Mixed,High,3.98,3.37,3
T39,251,42,Sandstone,Medium,4.34,1.21,3
T40,305,132,Mixed,Low,2.55,6.77,2
T41,162,24,Shale,Medium,4.53,1.63,3
T42,172,149,Shale,Medium,4.98,6.7,3
T43,710,51,Sandstone,High,4.9,8.91,3
T44,492,30,Shale,Medium,4.08,5.85,3
T45,270,69,Sandstone,High,0.52,1.21,0
T46,687,131,Mixed,High,1.13,8.04,3
T47,759,162,Clay,Low,2.46,5.36,2
T48,687,134,Sandstone,High,4.46,5.35,3
T49,357,141,Clay,High,1.38,8.28,3
T50,375,185,Shale,Medium,1.45,9.93,3
T51,787,25,Sandstone,Medium,3.6,5.54,3
T52,105,166,Sandstone,High,1.39,3.65,1
T53,828,68,Clay,Low,4.22,6.14,3
T54,537,29,Sandstone,Low,2.41,8.28,3
T55,184,77,Sandstone,Medium,3.97,3.68,3
T56,400,72,Mixed,High,4.77,1.07,3
T57,343,186,Sandstone,Low,0.95,2.09,0
T58,605,58,Mixed,Low,4.02,0.59,3
T59,358,45,Clay,Medium,4.62,1.39,3
T60,530,118,Clay,Medium,1.09,4.04,1
T61,474,65,Shale,Medium,2.87,5.64,2
T62,576,125,Mixed,High,2.69,0.65,2
T63,603,78,Clay,High,3.93,3.86,3
T64,206,41,Mixed,High,4.24,7.96,3
T65,374,160,Clay,High,1.74,9.3,3
T66,123,122,Mixed,Medium,4.76,2.87,3
T67,900,47,Shale,High,4.3,7.65,3
T68,163,120,Sandstone,Low,2.31,7.65,3
T69,361,171,Mixed,Medium,4.27,8.93,3
T70,250,164,Clay,High,2.3,7.61,3
T71,210,135,Shale,High,3.55,6.77,3
T72,265,131,Sandstone,Medium,1.75,5.25,2
T73,600,172,Clay,High,0.85,2.42,0
T74,178,25,Clay,High,2.31,0.97,2
T75,372,194,Sandstone,Low,2.48,1.93,2
T76,376,33,Shale,High,2.92,7.04,3
T77,920,179,Clay,Low,0.33,6.06,2
T78,259,132,Mixed,Low,2.74,7.14,3
T79,908,93,Clay,High,3.69,4.34,3
T80,540,101,Sandstone,Low,3.56,5.32,3
T81,549,110,Mixed,Medium,4.71,2.44,3
T82,633,123,Sandstone,High,3.55,7.75,3
T83,554,44,Sandstone,High,1.64,1.43,1
T84,587,51,Mixed,Medium,2.19,1.35,2
T85,734,32,Shale,Medium,2.67,4.81,2
T86,870,60,Mixed,Medium,4.19,1.2,3
T87,540,112,Sandstone,Low,4.32,0.55,3
T88,283,86,Shale,Medium,3.35,9.32,3
T89,264,143,Sandstone,High,1.24,6.43,2
T90,939,85,Clay,Medium,3.27,9.64,3
T91,181,43,Shale,Medium,0.71,4.73,1
T92,880,54,Mixed,Medium,3.93,5.1,3
T93,297,69,Mixed,Medium,2.13,3.81,2
T94,295,126,Clay,Low,3.49,4.26,3
T95,636,143,Clay,High,4.88,0.88,3
T96,817,187,Mixed,High,0.15,1.92,0
T97,988,70,Shale,Low,1.66,4.76,1
T98,589,21,Clay,Low,4.86,5.01,3
T99,341,106,Clay,High,3.52,7.6,3
T100,582,44,Shale,Medium,0.81,2.78,1
T101,540,166,Shale,Low,3.91,1.15,3
T102,763,81,Sandstone,Medium,1.87,7.89,3
T103,706,167,Sandstone,Low,3.69,1.26,3
T104,112,179,Mixed,Medium,0.72,8.78,3
T105,829,139,Clay,Medium,1.05,6.83,2
T106,600,149,Mixed,High,4.8,1.79,3
T107,950,58,Mixed,Medium,3.79,4.66,3
T108,658,57,Sandstone,Medium,1.61,4.81,1
T109,345,54,Sandstone,High,1.2,9.92,3
T110,811,100,Mixed,Medium,2.23,8.8,3
T111,489,95,Clay,Low,2.32,9.71,3
T112,230,189,Mixed,Low,1.39,0.51,1
T113,693,35,Shale,Low,3.64,1.54,3
T114,912,43,Clay,Medium,2.0,2.94,1
T115,283,116,Sandstone,Low,4.82,5.61,3
