Project: Evolutionary Intensity Measures for More Accurate and Informative Liquefaction Hazard Evaluation,,,,
Exp8: 72 to 94% Relative Density Cyclic Simple Shear Tests under Modulated Sine Loadings,,,,
Operator: Wing Shun Kwan,,,,
Date: 2013-05-16,,,,
,,,,
Time [sec],Shear Strain [%],Shear Stress [kPa],Effective Vertical Stress [kPa],Excess Pore Pressure [kPa]
0,0.003117031,0,102.574483,-0.2
0.9995,0.003117031,0,102.5325936,-0.1
1.9995,0.003117031,0,102.574483,-0.2
2.9995,0.003117031,0,102.5682945,-0.1
3.9985,0.003117031,0,102.574483,-0.2
4.9985,0.003117031,0,102.5325936,-0.1
5.0335,0.003117031,0,102.5682945,-0.1
5.0575,0.003117031,0,102.5682945,-0.1
5.0825,0.003117031,0,102.5325936,-0.1
5.1075,0.003117031,0,102.5682945,-0.1
5.1325,0.003117031,0,102.5682945,-0.1
5.1575,0.003117031,0,102.5387821,-0.2
5.1825,0.003117031,0,102.574483,-0.2
5.2075,0.003117031,0,102.574483,-0.2
5.2315,0.003117031,0,102.574483,-0.2
5.2565,0.003117031,0,102.574483,-0.2
5.2815,0.003117031,0,102.574483,-0.2
5.3065,0.003117031,0,102.5682945,-0.1
5.3315,0.003117031,0,102.5682945,-0.1
5.3565,0.003117031,0,102.5682945,-0.1
5.3815,0.003117031,0,102.5682945,-0.1
5.4065,0.003117031,0,102.5325936,-0.1
5.4315,0.003117031,0,102.5325936,-0.1
5.4565,0.003117031,0,102.5682945,-0.1
5.4815,0.003117031,0,102.5325936,-0.1
5.5065,0.003117031,0,102.574483,-0.2
5.5305,0.003117031,0,102.574483,-0.2
5.5555,0.003117031,0,102.574483,-0.2
5.5805,0.003117031,0,102.5387821,-0.2
5.6055,0.004007611,0,102.5387821,-0.2
5.6305,0.003117031,0,102.5325936,-0.1
5.6555,0.003117031,0,102.5325936,-0.1
5.6805,0.003117031,0,102.5682945,-0.1
5.7055,0.003117031,0.032956547,102.5682945,-0.1
5.7305,0.003117031,0,102.5682945,-0.1
5.7555,0.003117031,0,102.5682945,-0.1
5.7805,0.003117031,0,102.5682945,-0.1
5.8055,0.003117031,0,102.5682945,-0.1
5.8295,0.003117031,0,102.574483,-0.2
5.8545,0.003117031,0,102.5387821,-0.2
5.8795,0.003117031,0.032956547,102.574483,-0.2
5.9045,0.003117031,0,102.574483,-0.2
5.9295,0.003117031,0,102.574483,-0.2
5.9545,0.003117031,0,102.574483,-0.2
5.9795,0.003117031,0,102.5682945,-0.1
6.0045,0.003117031,0,102.5682945,-0.1
6.0295,0.003117031,0,102.5682945,-0.1
6.0545,0.003117031,0,102.5682945,-0.1
6.0795,0.003117031,0,102.5325936,-0.1
6.1045,0.003117031,0,102.5682945,-0.1
6.1295,0.003117031,0,102.5325936,-0.1
6.1535,0.003117031,0,102.5325936,-0.1
6.1785,0.003117031,0,102.5325936,-0.1
6.2035,0.003117031,0,102.5682945,-0.1
6.2285,0.003117031,0,102.574483,-0.2
6.2535,0.003117031,0,102.574483,-0.2
6.2785,0.003117031,0,102.574483,-0.2
6.3035,0.003117031,0,102.574483,-0.2
6.3285,0.003117031,0,102.5682945,-0.1
6.3535,0.003117031,0,102.5325936,-0.1
6.3785,0.003117031,0,102.5682945,-0.1
6.4035,0.003117031,-0.032956547,102.5682945,-0.1
6.4285,0.003117031,0,102.5682945,-0.1
6.4525,0.003117031,0,102.5325936,-0.1
6.4775,0.003117031,0,102.5325936,-0.1
6.5025,0.003117031,0,102.5682945,-0.1
6.5275,0.003117031,0,102.5325936,-0.1
6.5525,0.003117031,0,102.5387821,-0.2
6.5775,0.003117031,-0.032956547,102.574483,-0.2
6.6025,0.003117031,-0.032956547,102.574483,-0.2
6.6275,0.003117031,-0.032956547,102.574483,-0.2
6.6525,0.003117031,0,102.5387821,-0.2
6.6775,0.003117031,0,102.574483,-0.2
6.7025,0.003117031,0,102.5682945,-0.1
6.7275,0.003117031,0,102.5325936,-0.1
6.7515,0.003117031,0,102.5682945,-0.1
6.7765,0.003117031,0,102.5682945,-0.1
6.8015,0.003117031,0,102.5682945,-0.1
6.8265,0.003117031,0,102.5325936,-0.1
6.8515,0.003117031,0,102.5682945,-0.1
6.8765,0.004007611,0,102.5682945,-0.1
6.9015,0.003117031,0,102.5682945,-0.1
6.9265,0.003117031,0,102.5387821,-0.2
6.9515,0.003117031,0,102.5387821,-0.2
6.9765,0.003117031,0.032956547,102.5387821,-0.2
7.0015,0.004007611,0,102.574483,-0.2
