test_id,site_name,test_name,n_measurements,depth_max_m,qc_min_MPa,qc_max_MPa,qc_mean_MPa,Ic_min,Ic_max,Ic_mean,qc1Ncs_min,qc1Ncs_max,qc1Ncs_mean
1006,Wildlife Array,10Cg,131,13.0,0.0,27.8898,8.538815267175574,1.1284105270197398,3.4755221875387385,2.2229936384807853,14.629551968916621,354.7573911526739,117.37446420451174
996,Wildlife Array,1Cg,131,13.0,0.0,14.2637,3.0305407633587786,1.5642926696176478,3.4755221875387385,2.7125701091062147,14.629551968916621,192.6324385614832,53.08242049362915
997,Wildlife Array,1Cp,126,12.5,0.0,9.7119,2.083457142857143,1.9198514493183532,3.938661999987046,2.8971965884289888,14.629551968916621,137.18344234832887,41.39456110674546
998,Wildlife Array,2Cg,133,13.2,0.0,11.7622,3.3405633082706765,1.641159155618676,4.115975684166667,2.7876729594444485,14.629551968916621,134.72109777294645,55.62230084699979
978,Wildlife Array,3Cg_post1,65,6.8,0.4,9.7,3.8384615384615386,1.822540208863166,2.8758851091600337,2.2258360239093085,21.90572784284989,151.68227469864962,70.62409347507328
979,Wildlife Array,3Cg_post2,64,6.7,0.0,7.1,2.6390624999999996,1.8924755070650185,3.8359514177081313,2.487429937220133,14.629551968916621,112.12066401377824,53.62085346258942
980,Wildlife Array,3Cg_post3,65,6.8,0.4,9.4,4.104615384615385,1.8596916286917382,2.954758346320944,2.2110039197263376,21.90572784284989,147.4435306966991,74.08341379492765
977,Wildlife Array,3Cg_pre,119,11.8,0.0,14.7739,3.002602100840336,1.3675523267194847,4.115975684166667,2.5976706701382644,14.629551968916621,162.21000585987042,54.53010593441009
999,Wildlife Array,3Cp,118,11.8,0.0,9.1233,1.9462042372881359,2.0106197694421035,4.014665332275241,2.959342505881499,14.629551968916621,110.3152522862936,40.671960997139216
1000,Wildlife Array,4Cg,120,11.9,0.0,16.52,2.9152044166666666,1.3208531103012315,3.4755221875387385,2.57083390461853,14.629551968916621,179.07407475709797,53.14115864245067
982,Wildlife Array,5Cg_post1,76,7.9,0.5,5.0,2.0065789473684212,1.966198004811362,3.002673353235559,2.4705754101365627,23.724771811333206,83.47644422695383,44.535201668693354
983,Wildlife Array,5Cg_post2,76,7.9,0.1,10.6,3.4368421052631586,1.7551014398421545,3.566972021437402,2.423380820857374,16.44859593739994,160.34754034657198,63.892724173032605
984,Wildlife Array,5Cg_post3,65,6.8,0.4,10.9,3.3800000000000003,1.737051006288657,3.119485326195339,2.358457926695993,21.90572784284989,171.99996483486024,63.770315907795535
981,Wildlife Array,5Cg_pre,120,11.9,0.0,16.52,2.7464728333333337,1.3208531103012315,3.4755221875387385,2.6132162543861517,14.629551968916621,179.07407475709797,50.31107072517225
986,Wildlife Array,6Cg_post1,56,5.9,0.1,11.3,3.0785714285714283,1.6045434985959,4.002047462709597,2.5220281696135722,16.44859593739994,172.08526968937096,59.671415671981876
987,Wildlife Array,6Cg_post2,63,6.6,-0.2,11.7,2.938095238095238,1.7934949050197082,4.115975684166667,2.6065205478329876,14.629551968916621,177.65892341398882,66.80088387255135
988,Wildlife Array,6Cg_post3,67,7.0,-0.088,11.64,2.8385373134328358,1.810447137836477,4.115975684166667,2.566348088657736,14.629551968916621,173.58757115878976,58.508126276072595
985,Wildlife Array,6Cg_pre,118,11.7,0.0,12.8315,2.8463963559322036,1.4270583099585892,3.4755221875387385,2.567337917113775,14.629551968916621,152.81710107845265,52.52461129022495
1001,Wildlife Array,6Ct,91,9.0,0.0,10.6537,2.3242153846153846,1.7976184619798292,4.034328140557687,2.7260124572601194,14.629551968916621,150.6052218637748,46.84322356426969
1002,Wildlife Array,7Cg,130,12.9,0.0,10.1337,2.935529076923077,1.7653469286895767,4.115975684166667,2.8138683169747765,14.629551968916621,157.81008561080273,51.553481621589945
1974,Wildlife Array,7Cp,117,11.6,0.0,6.2784,1.4773692307692305,2.142947519359566,4.034328140557687,3.050172193781625,14.629551968916621,86.19674347120838,34.52182404771408
1003,Wildlife Array,8Cg,131,13.0,0.0,27.0756,2.4812564122137406,1.9259604316368264,4.115975684166667,2.988427307976912,14.629551968916621,310.08735464754227,45.67501753374869
1004,Wildlife Array,9Cg,131,13.0,0.0,20.9542,5.725072900763359,1.4119033014671232,3.7889874118302256,2.433045626165138,14.629551968916621,292.3204786409686,85.85259474703274
1005,Wildlife Array,9Cp,76,7.5,0.0,11.9682,2.8384460526315785,1.7564088438186054,4.115975684166667,2.8572849463407604,14.629551968916621,166.51166298670418,52.83359912504621
3348,Moss Landing Marine Lab (MLML),C-1 (WCC 89),201,20.17,0.083,58.952,18.907273631840795,0.8775482047057284,3.4755221875387385,1.474066215564887,15.278444331813624,482.42968512291975,221.37431274351403
3349,Moss Landing Marine Lab (MLML),C-2 (WCC 89),208,20.93,0.0,53.143,15.29969230769231,0.8366402301785489,3.4755221875387385,1.6483508663502795,14.629551968916621,449.62121723930835,165.0761873420444
3350,Moss Landing Marine Lab (MLML),C-3 (WCC 89),225,22.56,0.0,51.642,11.553942222222222,0.9026165856044677,3.4755221875387385,1.8297692741045806,14.629551968916621,430.3795668303116,123.97698309652287
3351,Moss Landing Marine Lab (MLML),C-4 (WCC 89),951,19.82,0.857,50.171,9.863277602523658,0.9169873133887707,3.0340792369806073,1.77007854848737,25.508290877171703,439.944514155457,134.17553037049586
3361,Moss Landing Marine Lab (MLML),ML-118,338,13.5,0.211,17.773,6.01624852071006,1.3493335125378454,3.7758625566981325,2.4604229033090914,18.467734742416418,270.1142773423984,94.13953887774606
3362,Moss Landing Marine Lab (MLML),ML-119,68,13.8,0.39,29.41,5.242058823529412,1.1008536736986834,3.5517596581176964,2.430080098055366,21.723823446001557,289.67665505452646,79.11883778204796
3352,Moss Landing Marine Lab (MLML),ML-C-1,211,19.29,0.151,28.814,6.548303317535545,0.9619044878292187,3.9349108303371967,2.4259396945383207,17.37630836132643,287.14859834776183,90.54547668852592
3353,Moss Landing Marine Lab (MLML),ML-C-2,196,17.92,0.213,28.817,6.768632653061225,1.1146492275289022,3.810419272960501,2.3352044527781577,18.504115621786084,315.2629486401543,96.30446289747677
3354,Moss Landing Marine Lab (MLML),ML-C-3,193,17.83,0.339,28.801,6.649943005181346,1.3744791273362007,4.097166558315268,2.2974106206453766,18.163391870173115,285.35905536422854,93.48335748269045
3355,Moss Landing Marine Lab (MLML),ML-C-4,193,17.92,0.276,28.809,7.814310880829015,1.3401078452452853,3.914857440736751,2.29400172212792,18.46849149013359,351.36957604820253,108.02016832005877
3356,Moss Landing Marine Lab (MLML),ML-C-5,196,18.0,0.364,28.813,9.386637755102042,1.2083640522804548,3.3500981357042616,2.1178126680271134,20.463208898629237,353.11310244202514,123.55188377743524
3357,Moss Landing Marine Lab (MLML),ML-C-6,197,18.11,0.0,28.796,7.401670050761422,1.2933820182275315,4.115975684166667,2.4066279720662767,14.629551968916621,307.113631661349,103.67914376685384
3358,Moss Landing Marine Lab (MLML),ML-C-7,195,17.92,0.307,28.8,8.125476923076922,0.6864287475211551,3.8914618871770585,2.2920546718032497,18.63920005015476,347.4602106797461,110.97846266461006
3359,Moss Landing Marine Lab (MLML),ML-C-8,197,18.11,0.236,28.805,8.919553299492385,1.2265072892591893,4.081960163088919,2.276791391343161,17.867251597785515,383.113288664582,118.19966046542194
3360,Moss Landing Marine Lab (MLML),ML-C-9,247,22.68,0.123,27.596,7.514129554655871,1.1556016297427343,3.8960006131420593,2.4008742577374633,16.8669760501511,334.61265041457057,97.95506333148874
3341,Moss Landing Marine Lab (MLML),UC-1,360,18.0,0.68544,63.7546,16.005962666666665,0.9513463642956144,3.282015656015841,1.7711008089612148,21.877941776762594,551.9561881077863,202.845456527848
3344,Moss Landing Marine Lab (MLML),UC-33,314,15.7,0.46944,43.6618,9.121303248407644,0.9607094794367937,3.3299193052408365,2.08657366588608,22.99729319889907,647.4193681705665,124.33162996201307
3345,Moss Landing Marine Lab (MLML),UC-34,327,16.35,0.60384,57.7142,11.951275535168195,0.8483538349098011,3.2298107198658155,1.8604457503826664,21.91664275592823,831.4354258572835,162.1239526022839
3346,Moss Landing Marine Lab (MLML),UC-35,373,18.65,0.5952,64.0973,14.839754798927615,1.069427083703186,3.4363591406087908,1.8501334751136587,21.64023265193285,1030.8693239516203,178.89393695614754
3347,Moss Landing Marine Lab (MLML),UC-36,326,16.3,0.46464,41.7158,10.725846871165643,1.0199290810545618,3.2934056213866265,1.9953225943782293,21.486666146947698,732.8202231278752,140.45580641175724
3342,Moss Landing Marine Lab (MLML),UC-7,299,14.95,0.22848,43.5312,9.502932374581938,0.6867206071203157,3.560540874054049,2.12261330644359,18.753720742292437,806.4864877467544,134.04506838538603
3343,Moss Landing Marine Lab (MLML),UC-8,299,14.95,0.27744,49.6253,7.828762006688963,0.6136627308115175,3.3153183987649877,2.1025691352353273,19.58073516687702,917.3615410385645,111.6077662273621
3498,Jefferson Ranch (JRR),JRR032,202,20.2,0.0,13.0,3.654455445544554,1.703959108277111,3.5403285690459114,2.419241483258095,14.629551968916621,149.83407155760204,56.602370424821025
3499,Jefferson Ranch (JRR),JRR033,203,20.3,0.3,17.6,3.8182266009852217,1.4692424343447357,3.466295612697078,2.558989231316135,20.08668387436657,205.8843023848678,62.075806741867126
3500,Jefferson Ranch (JRR),JRR034,193,19.3,0.5,12.4,2.861139896373057,1.4404709291607711,3.5002979993857934,2.7584474000614945,19.819000823500286,240.19100406084783,55.29848813415912
3501,Jefferson Ranch (JRR),JRR035,203,20.3,0.7,16.1,4.550738916256158,1.462179323182981,3.5080636621413417,2.504589576985425,20.670965219196486,194.13094552162272,73.53575284874198
3502,Jefferson Ranch (JRR),JRR036,188,18.8,0.5,21.9,3.9882978723404254,1.2857660272781823,3.532676238094523,2.462606543558551,20.412098645185615,231.09578421843128,62.97437948250861
3503,Jefferson Ranch (JRR),JRR121,84,9.7,0.202,28.4,3.9247380952380944,1.0531142146767936,3.4999896450381383,2.5687344543798902,18.30402078525292,321.96678963174486,62.1281788502817
3504,Jefferson Ranch (JRR),JRR122,97,9.7,0.134,19.16,1.6327628865979382,1.2206865411855656,3.8932908561606143,3.022616829047239,16.489312264875316,221.97397005412046,34.72131627892682
3505,Jefferson Ranch (JRR),JRR141,195,19.5,0.67,16.11,3.61774358974359,1.1351337869309432,3.424835882790716,2.5370084916655893,20.952437173902513,282.21091973281244,62.27526515312867
3506,Jefferson Ranch (JRR),JRR142,193,19.3,0.54,15.85,4.568341968911916,1.3420706212645956,3.2891528054677694,2.2937338256723665,20.088837168034818,216.72533686741306,69.92636448912207
3507,Jefferson Ranch (JRR),JRR143,194,19.4,0.37,11.37,3.38860824742268,1.5480462468570417,3.2864053711480525,2.4161730851945005,21.360014652304894,187.25682457798334,51.709502181717475
3508,Jefferson Ranch (JRR),JRR144,193,19.3,0.47,14.96,2.8121243523316064,1.7106730412416935,3.2989228086362696,2.5323062092438797,21.485931268110463,165.6735607206059,47.25194237796002
3509,Jefferson Ranch (JRR),JRR145,100,10.0,0.2,16.05,1.1826999999999999,1.3020374273832664,3.608486860993872,3.047378956629661,17.76692791040703,186.20368522562575,30.259859017710365
3510,Jefferson Ranch (JRR),JRR146,97,9.7,0.2,25.01,1.52,1.107028092752386,3.2449181621171777,2.8601275511183255,17.799766745182485,285.2811123191749,34.348571993292154
3511,Jefferson Ranch (JRR),JRR147,98,9.8,0.23,26.33,1.7148979591836735,1.0869519436866195,3.4890493197474988,2.8680806506641963,18.53183658901402,298.39520385595483,36.67698065500578
3512,Jefferson Ranch (JRR),JRR148,93,9.3,0.17,24.78,2.5319354838709676,1.1037355509693796,3.6596371266362575,2.742580295848113,17.480192504326375,287.33925954540297,46.835550971109896
3513,Jefferson Ranch (JRR),JRR149,113,11.3,0.2,11.11,2.9772566371681415,1.557624826883668,3.5248479138896016,2.59448937074148,18.092332338263475,148.917564423378,51.06586169229419
3514,Jefferson Ranch (JRR),JRR150,114,11.4,0.27,18.29,3.884649122807018,1.6331028458142884,3.5191926449468065,2.4878667734372955,19.076227594132824,220.94698312264097,62.21153475947494
3515,Jefferson Ranch (JRR),JRR151,128,12.8,-0.03,10.75,4.27546875,1.533741226532959,3.5362937316524947,2.187388219584851,15.90288274685494,133.16357129580837,69.08324973376979
